time,setpoint,sensor,sinyal kendali
2024-08-25 17:55:01.216100,36.0,21.13,0
2024-08-25 17:55:01.418563,36.0,21.13,0
2024-08-25 17:55:01.620355,36.0,21.13,0
2024-08-25 17:55:01.819101,36.0,21.13,0
2024-08-25 17:55:02.047009,36.0,21.13,0
2024-08-25 17:55:02.255283,36.0,21.13,0
2024-08-25 17:55:02.457969,36.0,21.13,0
2024-08-25 17:55:02.658590,36.0,21.13,0
2024-08-25 17:55:02.881509,36.0,21.13,0
2024-08-25 17:55:03.081612,36.0,21.13,0
2024-08-25 17:55:03.285189,36.0,21.13,0
2024-08-25 17:55:03.491935,36.0,21.12,0
2024-08-25 17:55:03.690747,36.0,21.13,0
2024-08-25 17:55:03.890858,36.0,21.13,0
2024-08-25 17:55:04.120317,36.0,21.13,0
2024-08-25 17:55:04.347354,36.0,21.13,0
2024-08-25 17:55:04.550094,36.0,21.13,0
2024-08-25 17:55:04.751893,36.0,21.13,0
2024-08-25 17:55:04.977876,36.0,21.13,0
2024-08-25 17:55:05.179545,36.0,21.13,0
2024-08-25 17:55:05.384751,36.0,21.13,0
2024-08-25 17:55:05.592260,36.0,21.13,0
2024-08-25 17:55:05.812439,36.0,21.13,0
2024-08-25 17:55:06.014570,36.0,21.13,0
2024-08-25 17:55:06.243918,36.0,21.13,0
2024-08-25 17:55:06.452429,36.0,21.13,0
2024-08-25 17:55:06.655736,36.0,21.13,0
2024-08-25 17:55:06.876445,36.0,21.13,0
2024-08-25 17:55:07.078050,36.0,21.13,0
2024-08-25 17:55:07.279367,36.0,21.13,0
2024-08-25 17:55:07.486088,36.0,21.13,0
2024-08-25 17:55:07.711918,36.0,21.13,0
2024-08-25 17:55:07.915065,36.0,21.13,0
2024-08-25 17:55:08.116298,36.0,21.19,0
2024-08-25 17:55:08.346482,36.0,21.19,0
2024-08-25 17:55:08.552987,36.0,21.13,0
2024-08-25 17:55:08.753261,36.0,21.13,0
2024-08-25 17:55:08.977218,36.0,21.13,100
2024-08-25 17:55:09.178468,36.0,21.13,100
