time,setpoint,sensor,sinyal kendali
27:03.2,42.70004642,32,0
27:03.4,42.70004642,32,0
27:03.6,42.70004642,32,0
27:03.9,42.70004642,32,0
27:04.1,42.70004642,32,0
27:04.3,42.70004642,32,0
27:04.6,42.70004642,32,0
27:04.8,42.70004642,32,0
27:05.0,42.70004642,32,0
27:05.3,42.70004642,32,0
27:05.5,42.70004642,32,34.24013926
27:05.8,42.70004642,32,35.31013926
27:06.1,42.70004642,32,36.38013926
27:06.3,42.70004642,32,37.45013926
27:06.6,42.70004642,33,38.52013926
27:06.8,42.70004642,33,36.49013926
27:07.0,42.70004642,33,37.46013926
27:07.3,42.70004642,33,38.43013926
27:07.5,42.70004642,33,39.40013926
27:07.8,42.70004642,33,40.37013926
27:08.0,42.70004642,33,41.34013926
27:08.2,42.70004642,33,42.31013926
27:08.4,42.70004642,33,43.28013926
27:08.6,42.70004642,34,44.25013926
27:08.8,42.70004642,34,42.12013926
27:09.0,42.70004642,34,42.99013926
27:09.3,42.70004642,34,43.86013926
27:09.6,42.70004642,35,44.73013926
27:09.9,42.70004642,35,42.50013926
27:10.1,42.70004642,35,43.27013926
27:10.4,42.70004642,36,44.04013926
27:10.7,42.70004642,36,41.71013926
27:11.0,42.70004642,36,42.38013926
27:11.2,42.70004642,36,43.05013926
27:11.4,42.70004642,37,43.72013926
27:11.7,42.70004642,37,41.29013926
27:11.9,42.70004642,37,41.86013926
27:12.2,42.70004642,37,42.43013926
27:12.4,42.70004642,38,43.00013926
27:12.7,42.70004642,38,40.47013926
27:12.9,42.70004642,39,40.94013926
27:13.2,42.70004642,39,38.31013926
27:13.5,42.70004642,39,38.68013926
27:13.8,42.70004642,39,39.05013926
27:14.0,42.70004642,40,39.42013926
27:14.3,42.70004642,40,36.69013926
27:14.5,42.70004642,40,36.96013926
27:14.7,42.70004642,41,37.23013926
27:14.9,42.70004642,41,34.40013926
27:15.2,42.70004642,41,34.57013926
27:15.4,42.70004642,41,34.74013926
27:15.7,42.70004642,41,34.91013926
27:16.0,42.70004642,42,35.08013926
27:16.3,42.70004642,42,32.15013926
27:16.5,42.70004642,42,32.22013926
27:16.7,42.70004642,42,32.29013926
27:16.9,42.70004642,42,32.36013926
27:17.2,42.70004642,43,32.43013926
27:17.5,42.70004642,43,29.40013926
27:17.8,42.70004642,43,29.37013926
27:18.0,42.70004642,44,29.34013926
27:18.3,42.70004642,44,26.21013926
27:18.5,42.70004642,44,26.08013926
27:18.7,42.70004642,44,25.95013926
